name,group,ok,r_bar,coverage,n_r,n_dr,r_min,r_max,r_sd,r_p25,r_p75,dr_min,dr_max,dr_sd,dr_p25,dr_p75,err
roundabout_PCG_570,PCG,1,11.10772390327384,0.9180555555555555,133,132,10.101211220030475,12.766314079835183,0.7724476233326313,10.457450076774231,11.749566660869242,-0.4998931378289839,0.24149174809203267,0.10608078191039813,-0.07912302198594423,0.050063588595488984,
roundabout_PCG_571,PCG,1,10.822714499175605,1.0,137,137,10.077206652425689,11.713473745831687,0.4358590743307154,10.499876309270794,11.13884076473048,-0.12337961690593247,0.09306039703606395,0.05174157674925697,-0.034069160350400196,0.04094286353962673,
roundabout_PCG_572,PCG,1,11.336049685713274,1.0,144,144,10.734335688324059,12.141399074926484,0.41214157131168405,10.997302392180398,11.69259349867113,-0.11612558875336632,0.09539901094498404,0.054467024253760425,-0.04472749255810449,0.044986806663894985,
roundabout_PCG_573,PCG,1,11.45213605237797,1.0,145,145,10.837476008175722,12.19118624788815,0.3859214854154236,11.111226203437345,11.775051459990301,-0.07182539624617945,0.061739145911960946,0.03754656016274738,-0.03459758823136738,0.031410797340177155,
roundabout_PCG_574,PCG,1,10.929216157301498,1.0,138,138,10.195424657021055,11.463393719817985,0.26488145398218105,10.820067079601401,11.044218543605332,-0.14641524096313674,0.07699554770622363,0.04114794770906049,-0.012974872474238452,0.02274302259482619,
roundabout_PCG_575,PCG,1,11.185253045965373,1.0,142,142,9.911128542473781,12.333611809671137,0.6378860163636486,10.676918898291103,11.720052229514415,-0.13699433036540754,0.10310019469492104,0.0644912631608327,-0.04215107351732339,0.05270166308154556,
roundabout_PCG_576,PCG,1,11.016261512040122,1.0,139,139,9.967465977369509,11.825420308944993,0.5295174386416798,10.564433679511179,11.489317509541213,-0.08367711635240838,0.11492323864735887,0.05382379227219246,-0.045481087055144975,0.03841798493719395,
roundabout_PCG_577,PCG,1,11.19009926907967,1.0,142,142,10.288505660074351,11.766853580839717,0.3566485214097383,11.031407643376433,11.445953410809746,-0.0964345373813984,0.13184146917598127,0.04788508107857243,-0.03537640224995009,0.028927063279660548,
roundabout_PCG_578,PCG,1,11.19109392005259,1.0,142,142,10.563064459683888,11.94190250290783,0.4058889882382112,10.779966442815113,11.584152148207236,-0.1507239624657064,0.10171803303104632,0.058509944559704326,-0.037544248158442706,0.0491998603044741,
roundabout_PCG_579,PCG,1,11.131462269332474,1.0,141,141,10.283469095565216,11.753684338694502,0.3539989464052369,10.884100272398577,11.339872095845411,-0.09969311249467872,0.12266467779587664,0.046255048016917814,-0.018186255604305757,0.02562680170763265,
roundabout_PCG_58,PCG,1,11.355747646955033,1.0,144,144,10.66329776192746,12.172059758418591,0.4078475232030166,11.048297524688174,11.63601048793666,-0.07044890591282638,0.14473626985226673,0.05429487199246424,-0.04770908235248594,0.040134434008320063,
roundabout_PCG_580,PCG,1,11.090016335160547,1.0,140,140,10.493871525273187,11.602095936441607,0.3036232978901055,10.822178145991414,11.34079386560246,-0.11359636356597314,0.07786972880099441,0.0446527267234177,-0.032786746245375475,0.037621993046460744,
roundabout_PCG_581,PCG,1,11.420540891918746,1.0,144,144,10.956086750306216,11.905479540995316,0.2342138898550923,11.298570606163661,11.54330623022889,-0.04673615381673102,0.08355298598863925,0.03221635415893964,-0.025300709776762798,0.0199548942541381,
